,h_id,projection_id,rs,rho,c,m200,q,angle,position_angle,phi,theta,bin_width,cat_id
115000,31,15544,36.493243793451576,2094706.156599961,4.69737039860505,1171224791157.2944,0.9696292566204552,0.8525028397241523,1.9212409251930669,1.2203517283967247,0.5500414810247901,1.1429090269431654,115000
120000,42,21261,36.05854522300491,1931709.4984858697,4.531423735189089,1014299785911.5315,0.9170569723662964,0.9104628224220002,0.9957733446446124,5.287411962534975,0.4263946053496429,1.1596414778438913,120000
125000,6,3107,96.82084505719973,1666795.9507043406,4.661503586549404,19406595619365.758,0.9229009244827763,0.04622368106325954,0.16482402055488474,2.9767686330349066,0.8341398522308261,0.9778333197647981,125000
130000,10,5356,173.79689494596536,4106987.707326841,3.886542941475433,61631594717447.07,0.8803138477982929,0.10966434063775747,0.9680785101864953,5.315106796993091,1.028952429065021,0.9424043748272481,130000
135000,19,9730,55.42989601294076,1859481.973145578,5.37069274130921,6156018967298.621,0.8998718339749224,0.1825114764232717,0.3443381799493561,2.7972544736404372,1.266092623788582,0.8753193082248885,135000
140000,14,7288,96.85894897822584,3193097.063012697,4.6682007733395565,19456259201669.61,0.9213872154666433,0.24231902388024518,1.1221174297251018,5.161067877454485,1.1342520301807872,0.990793630716567,140000
145000,12,6000,170.8081776130307,12775231.961438507,3.9682576726605028,61369569825224.445,0.9327896864425017,0.3019921201528968,1.667192725949146,4.615992581230442,0.3830976195211124,0.9735000337399669,145000
150000,31,15561,56.159850574687425,2811386.443479721,5.314111856303784,6167538697851.127,0.794590165078267,0.38654499498643036,0.29713300557031536,5.986052301609271,1.270163497602044,1.0222374483992809,150000
155000,4,2138,93.836010331579,2101602.1307984605,4.801364260819181,19568117277935.47,0.9483143570732128,0.4424711656647439,1.7933932124825014,1.3481994411072917,1.5014382289007364,1.0948106409500156,155000
160000,22,11077,162.58513894581668,4862602.326230474,4.170434593947782,61662322243405.07,0.9353970685564572,0.5067320087506291,1.2415041066840045,1.9000885469057893,0.8369619201490093,0.9979125143258472,160000
165000,13,6879,52.87520313717488,2518093.9698917484,5.592629537738119,6167610196257.98,0.9551641941578192,0.5897117674467318,1.5324899420130094,4.750695365166576,0.8011460779368298,1.170889982003132,165000
170000,22,11301,87.44374386009402,4774999.913351692,5.099374676076362,19497129470911.426,0.878311513531455,0.6496258812426612,1.617551583623007,4.665633723556577,0.2493031411163901,0.9979528517838645,170000
175000,17,8579,148.23860581736344,8207221.228433856,4.501013696444602,61898210236827.54,0.8446313396498486,0.7066587403241239,0.05541797930712401,3.086174674282669,1.088663669704778,0.97534734081907,175000
180000,19,9589,50.04919376227035,2713658.034582846,5.993026706340597,6167985836416.892,0.9202552940518544,0.7878222509988543,2.3305014340457944,0.8110912195439989,0.8526795510507602,0.8752593515430647,180000
185000,14,7334,80.05166556634595,6236528.133318537,5.583170032563508,19396587779846.29,0.8159470867433776,0.8399425266383136,0.12153861518250916,6.161646691997078,0.4481142327671145,0.9909690379799798,185000
190000,29,14746,126.98055009755572,4195559.477192755,5.28294014863377,61886751649145.36,0.8534052130896415,0.9029564317243741,0.5955478495929489,2.546044803996845,1.0419024406802717,0.9732782229405643,190000
195000,46,23158,42.59501139968724,1623281.2854891317,7.080512643146937,6140863842326.27,0.7433809901829744,0.9876893097865962,0.4880726458992945,5.7951126612802915,1.1760874116052442,1.3068142654528856,195000
200000,8,4256,68.81471342354745,2479784.178479531,5.0601927887805775,9817098159108.457,0.8928136647768298,0.9709130082377244,1.5216523218736864,4.761532985305897,0.24178132551057974,0.9976252753926786,200000
205000,18,9257,45.64863083060346,5878028.330353338,7.33057839174031,8712381535343.1875,0.8923560457147516,0.9853460691214562,1.5577031474118253,1.5838895061779668,0.17140514001269805,0.9370163470754562,205000
210000,29,14500,51.02172003950838,4510580.797233627,6.553115329769505,8690550918694.75,0.8779303896563067,0.611762400498374,0.8259691993662163,2.3156234542235774,0.9125097008448363,0.9731519915907967,210000
215000,39,19530,45.56161078893677,5384392.681733324,7.06434029426031,7752663725695.634,0.769231999581988,0.027081248360607692,2.0980399358148114,1.0435527177749813,1.5437117671371203,0.9740424476072462,215000
220000,12,6303,499.01481983824794,858806.4308693762,2.3440424216212534,400435135032954.56,0.8174957514943919,0.022421747180206945,1.6880444050005277,1.4535482485892657,1.3339841649185642,1.1432778274750603,220000
225000,17,8766,581.6957296438057,383056.69952320703,2.0837351400738804,503831250369224.94,0.8562086695308488,0.16726834117232983,2.2648819038403527,0.8767107497494413,0.6148912566345559,1.113416713294157,225000
230000,1,989,246.59976186191528,1531041.1946631107,3.4959368895413725,125935113843688.31,0.944950780122328,0.3244748867165138,2.879937689128225,0.26165496446156783,1.119502399283617,0.9279185329604616,230000
235000,32,16442,279.4500533415871,679232.5251358364,3.293779876880251,158257170919388.78,0.6430355885820023,0.4690260667282124,0.5699527161448779,5.713232591034709,1.2664867550184873,1.3274129907503038,235000
240000,26,13339,296.8261923206402,1403911.7464989112,3.3087676855793724,199776457980820.94,0.8111621774284355,0.6092104503013509,0.0911721733802554,6.192013133799331,1.21229459986141,1.0437488812669926,240000
